               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037146,            0.017126,              0.0434,               0.235,             0.56863,              0.1931,              0.1427,           0.0082655,           0.0035321,            0.019657,            0.070059,           0.0033268,           0.0033268
                   1,            0.023249,            0.010825,            0.039623,             0.28958,             0.57889,             0.23271,             0.18753,           0.0067304,           0.0029538,            0.018195,            0.037861,           0.0044623,           0.0044623
                   2,            0.018211,           0.0093139,            0.037472,             0.32962,             0.58395,             0.29078,              0.2433,           0.0054434,             0.00277,            0.017201,           0.0034633,           0.0033978,           0.0033978
